,clump_p1,clump_r2,clump_kb,p_window_size,p_slide_size,p_LD_threshold,numberofpca,h2,numberofvariants,h2model,clumpprune,Method,Phenotype,relatedmatrix,data,Unnamed: 0.1,refset,weightset,alphamodelvalue,precomputedfile
72,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2953084,181401.6,GCTA_genotype,yes,GCTA-Heritability,irritable_bowel_syndrome,,,,,,,
73,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3937821999999999,619652.0,GCTA_genotype,no,GCTA-Heritability,irritable_bowel_syndrome,,,,,,,
74,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,150508.4,GCTA_genotype_covariate,yes,GCTA-Heritability,irritable_bowel_syndrome,,,,,,,
75,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1701369999999999,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,irritable_bowel_syndrome,,,,,,,
76,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0522539999999999,181401.6,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,irritable_bowel_syndrome,,,,,,,
77,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3891771999999999,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,irritable_bowel_syndrome,,,,,,,
78,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1694296,28789.2,GCTA_genotype,yes,GCTA-Heritability,hypothyroidism_myxoedema,,,,,,,
79,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4146957999999999,619652.0,GCTA_genotype,no,GCTA-Heritability,hypothyroidism_myxoedema,,,,,,,
80,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4267823999999999,28789.2,GCTA_genotype_covariate,yes,GCTA-Heritability,hypothyroidism_myxoedema,,,,,,,
81,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5971212,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,hypothyroidism_myxoedema,,,,,,,
82,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4131345999999999,28789.2,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,hypothyroidism_myxoedema,,,,,,,
83,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6452722000000001,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,hypothyroidism_myxoedema,,,,,,,
84,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0776772,28777.8,GCTA_genotype,yes,GCTA-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
85,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3582704,619652.0,GCTA_genotype,no,GCTA-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
86,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0038396,28777.8,GCTA_genotype_covariate,yes,GCTA-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
87,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.349698,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
88,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,28777.8,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
89,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2935606,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,gastro_oesophageal_reflux_gord_gastric_reflux,,,,,,,
90,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5583202,149213.2,GCTA_genotype,yes,GCTA-Heritability,migraine,,,,,,,
91,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0882328,619652.0,GCTA_genotype,no,GCTA-Heritability,migraine,,,,,,,
92,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.481936,174870.2,GCTA_genotype_covariate,yes,GCTA-Heritability,migraine,,,,,,,
93,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2360983999999999,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,migraine,,,,,,,
94,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5079819999999999,141274.4,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,migraine,,,,,,,
95,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.186043,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,migraine,,,,,,,
96,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.9708236,174078.0,GCTA_genotype,yes,GCTA-Heritability,SampleData1,,,,,,,
97,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.931678,551891.0,GCTA_genotype,no,GCTA-Heritability,SampleData1,,,,,,,
98,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.483021,174078.0,GCTA_genotype_covariate,yes,GCTA-Heritability,SampleData1,,,,,,,
99,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.7399532,551891.0,GCTA_genotype_covariate,no,GCTA-Heritability,SampleData1,,,,,,,
100,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0426138,174078.0,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,SampleData1,,,,,,,
101,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3546792,551891.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,SampleData1,,,,,,,
102,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.11635828,27780.0,HE regression_centered_genotype,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
103,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.1908995291719999,27780.0,HE regression_centered_genotype_covariate,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
104,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.1658876,27780.0,HE regression_centered_genotype_covariate_pca,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
105,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3791386,27780.0,HE regression_standardized_genotype,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
106,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.11850298,27780.0,HE regression_standardized_genotype_covariate,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
107,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.0829444,27780.0,HE regression_standardized_genotype_covariate_pca,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
108,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.353907,598280.6,HE regression_centered_genotype,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
109,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.00070644,598280.6,HE regression_centered_genotype_covariate,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
110,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.03822882,598280.6,HE regression_centered_genotype_covariate_pca,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
111,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5197146,598280.6,HE regression_standardized_genotype,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
112,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.15508762,598280.6,HE regression_standardized_genotype_covariate,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
113,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.20941082,598280.6,HE regression_standardized_genotype_covariate_pca,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
114,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.15277844,27780.0,REML AI algorithm_centered_genotype,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
115,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0003095560003528,27780.0,REML AI algorithm_centered_genotype_covariate,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
116,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0286732000473585,27780.0,REML AI algorithm_centered_genotype_covariate_pca,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
117,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4438554,27780.0,REML AI algorithm_standardized_genotype,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
118,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.07383784388102,27780.0,REML AI algorithm_standardized_genotype_covariate,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
119,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.12455354047116,27780.0,REML AI algorithm_standardized_genotype_covariate_pca,yes,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
120,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4984438,598280.6,REML AI algorithm_centered_genotype,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
121,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1652030000005933,598280.6,REML AI algorithm_centered_genotype_covariate,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
122,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1756080001683704,598280.6,REML AI algorithm_centered_genotype_covariate_pca,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
